timestamp,ecg_measurement,qrs_detected
1.566726800000000000e+07,2.043010711600000029e+00,0.000000000000000000e+00
1.567117200000000000e+07,2.047898292500000217e+00,0.000000000000000000e+00
1.567509200000000000e+07,2.057673454200000140e+00,0.000000000000000000e+00
1.567901200000000000e+07,2.086998939499999928e+00,0.000000000000000000e+00
1.568292400000000000e+07,2.121212005599999895e+00,0.000000000000000000e+00
1.568684400000000000e+07,2.150537729199999859e+00,0.000000000000000000e+00
1.569074800000000000e+07,2.145650148300000115e+00,0.000000000000000000e+00
1.569466800000000000e+07,2.155425310100000047e+00,0.000000000000000000e+00
1.569858000000000000e+07,2.174975633599999902e+00,0.000000000000000000e+00
1.570250800000000000e+07,2.204301118800000125e+00,0.000000000000000000e+00
1.570642000000000000e+07,2.218963861399999793e+00,0.000000000000000000e+00
1.571034000000000000e+07,2.214076280500000049e+00,0.000000000000000000e+00
1.571425200000000000e+07,2.214076280500000049e+00,0.000000000000000000e+00
1.571817200000000000e+07,2.214076280500000049e+00,0.000000000000000000e+00
1.572208400000000000e+07,2.228739023200000169e+00,0.000000000000000000e+00
1.572600400000000000e+07,2.228739023200000169e+00,0.000000000000000000e+00
1.572992400000000000e+07,2.214076280500000049e+00,0.000000000000000000e+00
1.573383600000000000e+07,2.194525957100000202e+00,0.000000000000000000e+00
1.573774800000000000e+07,2.179863214400000082e+00,0.000000000000000000e+00
1.574166800000000000e+07,2.165200471799999971e+00,0.000000000000000000e+00
1.574557200000000000e+07,2.130987405700000004e+00,0.000000000000000000e+00
1.574948400000000000e+07,2.077223777699999996e+00,0.000000000000000000e+00
1.575340400000000000e+07,2.013685226399999806e+00,0.000000000000000000e+00
1.575732400000000000e+07,1.955034255900000018e+00,0.000000000000000000e+00
1.576123600000000000e+07,1.896383190099999894e+00,0.000000000000000000e+00
1.576516000000000000e+07,1.837732219600000105e+00,0.000000000000000000e+00
1.576908400000000000e+07,1.764418363499999920e+00,0.000000000000000000e+00
1.577301600000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.577693200000000000e+07,1.647116279600000066e+00,0.000000000000000000e+00
1.578085600000000000e+07,1.608015632599999911e+00,0.000000000000000000e+00
1.578475600000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
1.578867600000000000e+07,1.534701824099999889e+00,0.000000000000000000e+00
1.579259200000000000e+07,1.495601177199999965e+00,0.000000000000000000e+00
1.579652000000000000e+07,1.485826015400000033e+00,0.000000000000000000e+00
1.580043200000000000e+07,1.476050853700000109e+00,0.000000000000000000e+00
1.580433600000000000e+07,1.466275691899999956e+00,0.000000000000000000e+00
1.580825200000000000e+07,1.461388111099999998e+00,0.000000000000000000e+00
1.581218400000000000e+07,1.451612949300000066e+00,0.000000000000000000e+00
1.581611200000000000e+07,1.466275691899999956e+00,0.000000000000000000e+00
1.582003200000000000e+07,1.476050853700000109e+00,0.000000000000000000e+00
1.582393600000000000e+07,1.490713596299999999e+00,0.000000000000000000e+00
1.582785200000000000e+07,1.505376338900000110e+00,0.000000000000000000e+00
1.583176400000000000e+07,1.505376338900000110e+00,0.000000000000000000e+00
1.583568400000000000e+07,1.515151500700000042e+00,0.000000000000000000e+00
1.583959600000000000e+07,1.534701824099999889e+00,0.000000000000000000e+00
1.584351600000000000e+07,1.554252147599999967e+00,0.000000000000000000e+00
1.584744400000000000e+07,1.559139728499999933e+00,0.000000000000000000e+00
1.585136400000000000e+07,1.568914985599999978e+00,0.000000000000000000e+00
1.585528400000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
1.585920400000000000e+07,1.598240470799999979e+00,0.000000000000000000e+00
1.586312000000000000e+07,1.622678375200000023e+00,0.000000000000000000e+00
1.586704400000000000e+07,1.637341117799999912e+00,0.000000000000000000e+00
1.587096400000000000e+07,1.637341117799999912e+00,0.000000000000000000e+00
1.587489200000000000e+07,1.637341117799999912e+00,0.000000000000000000e+00
1.587882000000000000e+07,1.647116279600000066e+00,0.000000000000000000e+00
1.588274000000000000e+07,1.661779022199999956e+00,0.000000000000000000e+00
1.588666000000000000e+07,1.671554183900000101e+00,0.000000000000000000e+00
1.589058000000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.589449200000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.589840400000000000e+07,1.676441764800000067e+00,0.000000000000000000e+00
1.590233200000000000e+07,1.691104650400000020e+00,0.000000000000000000e+00
1.590624800000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.591015600000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.591407600000000000e+07,1.691104650400000020e+00,0.000000000000000000e+00
1.591798800000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.592191600000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.592584800000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.592976000000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.593367600000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.593758000000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.594150400000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.594542000000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.594934400000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.595326400000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.595718000000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.596110800000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.596502400000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.596894400000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.597286400000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.597677200000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.598069200000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.598459600000000000e+07,1.735092878299999919e+00,0.000000000000000000e+00
1.598851600000000000e+07,1.735092878299999919e+00,0.000000000000000000e+00
